burden 0.2 0.8
32+4

0: sim executiontime 13.4629 accumulatedSim 2.89341
main time tick: 15.5746

  0: sim executiontime 15.2917 accumulatedSim 2.86002
  main time tick: 17.4242

avg 16.19113333
atdev 1.067867058

Reasons:

collective operation may take long time
decision overhead

   0: step 0 decision time 0.0108101
   0: step 1 decision time 0.00841165
   0: step 2 decision time 0.00913954
   0: step 3 decision time 0.0114012
   0: step 4 decision time 0.0102935
   0: step 5 decision time 0.00996375
   0: step 6 decision time 0.010232
   0: step 7 decision time 0.0103621
   0: step 8 decision time 0.00984859
   0: step 9 decision time 0.0219648
   0: step 10 decision time 0.00960684
   0: step 11 decision time 0.0107267
   0: step 12 decision time 0.00971293
   0: step 13 decision time 0.0094173
   0: step 14 decision time 0.00988603
   0: step 15 decision time 0.01002
   0: step 16 decision time 0.00948215
   0: step 17 decision time 0.00947022
   0: step 18 decision time 0.00991082
   0: step 19 decision time 0.0102129
   0: step 20 decision time 0.0101469
   0: step 21 decision time 0.0102327
   0: step 22 decision time 0.0104177
   0: step 23 decision time 0.0105705
   0: step 24 decision time 0.0104353
   0: step 25 decision time 0.020376
   0: step 26 decision time 0.0199919
   0: step 27 decision time 0.0158675
   0: step 28 decision time 0.0150163
   0: step 29 decision time 0.0675292
   0: step 30 decision time 0.575371
   0: step 31 decision time 0.0207837
   0: step 32 decision time 0.610769
   0: step 33 decision time 0.0234728
   0: step 34 decision time 0.210088
   0: step 35 decision time 0.0186265
   0: step 36 decision time 0.0264978
   0: step 37 decision time 0.163921
   0: step 38 decision time 1.50884
   0: step 39 decision time 1.48829


but sim time is really small

   0: step 34 avg sim 0.0745354
   0: step 35 avg sim 0.0751605
   0: step 36 avg sim 0.0814505
   0: step 37 avg sim 0.0797555
   0: step 38 avg sim 0.0753176
   0: step 39 avg sim 0.0751357

it can decrease to the 

main time tick: 14.9518

if we use the sucomm, it still increase for latest parts

   0: step 0 decision time 0.00503135
   0: step 1 decision time 0.000730515
   0: step 2 decision time 0.000801325
   0: step 3 decision time 0.00233078
   0: step 4 decision time 0.00217772
   0: step 5 decision time 0.00169635
   0: step 6 decision time 0.00276637
   0: step 7 decision time 0.00243688
   0: step 8 decision time 0.00169945
   0: step 9 decision time 0.00186396
   0: step 10 decision time 0.00170398
   0: step 11 decision time 0.00223136
   0: step 12 decision time 0.00231433
   0: step 13 decision time 0.00166726
   0: step 14 decision time 0.00252008
   0: step 15 decision time 0.0018878
   0: step 16 decision time 0.00234032
   0: step 17 decision time 0.00204349
   0: step 18 decision time 0.00200605
   0: step 19 decision time 0.00245309
   0: step 20 decision time 0.00249553
   0: step 21 decision time 0.0026536
   0: step 22 decision time 0.00213194
   0: step 23 decision time 0.00178766
   0: step 24 decision time 0.00168014
   0: step 25 decision time 0.0113142
   0: step 26 decision time 0.0157588
   0: step 27 decision time 0.0023706
   0: step 28 decision time 0.016495
   0: step 29 decision time 0.00992775
   0: step 30 decision time 0.013921
   0: step 31 decision time 0.0478039
   0: step 32 decision time 0.0477743
   0: step 33 decision time 0.0142932
   0: step 34 decision time 0.0141392
   0: step 35 decision time 0.0124924
   0: step 36 decision time 0.0206339
   0: step 37 decision time 0.34062
   0: step 38 decision time 0.407566
   0: step 39 decision time 1.47348
